Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
17	-89.67464	9.421875	-75.12852	-114.06728	-46.674576	5.4295926	-39.329227	-58.446983	100.0	100.0	85000	-38.71601	7.6152844	28.798466	-63.121983	-38.716507	7.618493	30.271353	-62.69219	-38.51643	6.891732	1.5905364	-64.84737	0.19880012	4.683666	45.276634	-15.698229	36.39738	1.7616931	1.7310076	2.128486	937.4310986995697
18	-88.01418	8.349577	-73.08675	-106.991806	-44.019012	4.993523	-37.185593	-52.24602	100.0	100.0	90000	-39.353935	8.022061	27.902985	-62.83122	-39.354904	8.021354	29.21848	-62.161026	-39.154217	7.3063207	7.2106795	-61.715656	0.21573763	4.675265	44.335682	-13.428938	36.996777	1.8158512	1.7907709	2.1413267	993.9402847290039
19	-93.60797	9.287815	-71.16782	-122.05319	-60.716087	5.1599236	-53.499855	-68.17949	100.0	100.0	95000	-39.78005	8.218824	24.5651	-63.769356	-39.781105	8.220387	29.42647	-64.26852	-39.615788	7.518157	0.33220577	-64.91007	0.40017655	4.889591	63.46362	-15.371864	37.397076	1.848768	1.7977631	2.2024028	1050.6504662036896
20	-96.97322	9.351585	-78.67877	-117.59612	-66.14336	5.37439	-58.80802	-78.134735	100.0	100.0	100000	-40.794407	8.882904	32.70111	-72.12403	-40.795227	8.885738	35.56137	-70.98454	-40.6466	8.210975	2.7667727	-71.26873	0.6943262	5.1517305	54.93824	-17.634106	38.269344	2.0826879	2.0253227	2.3938122	1110.2957479953766
21	-86.20279	9.647036	-68.42852	-107.14689	-52.47408	6.131855	-46.063133	-69.15771	100.0	100.0	105000	-40.572746	8.926242	31.427477	-69.21193	-40.574123	8.926646	27.862152	-69.20386	-40.371223	8.220561	5.5814724	-69.21347	0.67766595	5.009623	45.012447	-13.887545	37.99448	2.1339304	2.078084	2.3764632	1168.9144659042358
22	-91.864944	10.353256	-71.44104	-121.5069	-48.730507	4.1954627	-41.908184	-55.452713	100.0	100.0	110000	-40.220287	8.418293	33.742638	-69.96528	-40.221733	8.422963	43.649635	-69.413864	-40.038383	7.6828604	1.6252218	-71.21591	0.69682306	4.997051	44.448505	-15.802234	37.625565	2.2089357	2.1519673	2.3652763	1228.4091291427612
23	-93.97958	7.633265	-78.59539	-111.75084	-47.405697	4.130244	-40.420395	-52.678123	100.0	100.0	115000	-40.707	8.407848	30.350306	-75.01262	-40.70798	8.4049425	24.320236	-73.83343	-40.549706	7.7014065	10.032083	-75.44001	0.7598295	5.12825	44.488083	-16.693031	38.066837	2.2129393	2.218526	2.328232	1286.4591460227966
24	-92.67233	8.246333	-76.08262	-113.896	-51.698235	6.9121604	-42.00818	-61.08689	100.0	100.0	120000	-41.197765	8.4102545	33.100754	-79.270294	-41.199345	8.405833	31.392725	-74.775024	-41.065437	7.645962	2.681057	-77.11016	0.87770927	5.2642646	48.78653	-13.460821	38.499622	2.4023118	2.4018695	2.4007657	1344.118459701538
25	-95.05824	9.193737	-74.9863	-114.615616	-57.282116	5.604949	-49.036457	-67.927284	100.0	100.0	125000	-42.014915	8.001131	36.19798	-83.62163	-42.0162	7.9952435	29.457493	-81.48745	-41.905766	7.2291384	19.90336	-83.03326	1.1217208	5.4759436	51.232273	-14.821432	39.039	2.7259843	2.7433794	2.5404491	1401.268720626831
26	-87.92834	7.893045	-70.68359	-106.53309	-54.890755	6.2787	-45.85278	-65.3508	100.0	100.0	130000	-41.4309	8.920262	27.449348	-86.49706	-41.432903	8.915752	26.36206	-86.061386	-41.22663	8.29764	14.094403	-86.56722	1.2543044	5.3982644	65.90591	-16.675192	38.449375	2.5018175	2.481228	2.4890418	1458.9009728431702
