Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0019530611,0.69260883,0.14976072,0.014976072,30.072021,16.352331,-4.0086412,-0.006684159,0.0022229382,-0.0018604228,-0.012359737,0.0002574473,0.0015592332,0.0041628233,-0.0041609993,-4.035728,0.53440696,-2.344994,-5.7029934,0.00053918344,0.0013700707,0.0043439977,-0.002454193,-0.0006518511,0.0012498002,0.0031305198,-0.003774563,0.41251212,0.029696528,"[-263.57235197 -313.19398235 -253.22628164 -273.35500782 -283.03149898
 -279.75429145 -279.4459174  -264.21310072 -256.9009236  -268.0589264 ]",-273.4752282347443,16.253952313645584,-253.22628163849856,-313.1939823519828,4000,7000,0,128.64814642211422,0,29.706222897861153,158.35436931997538,186.90178753435612,0
0.4168915,0.029556906,7.12335,0.71233505,73.067245,13.690603,-68.97317,64.9538,19.291653,122.526566,9.026272,69.222305,18.603779,125.88093,21.3865,-2.1012383,1.8905243,3.6459236,-6.7317634,0.010876273,0.69954926,1.8733157,-1.9749867,-0.2430314,0.109738626,-0.020024715,-0.61912674,0.8459414,0.022192145,"[ -53.13113265  -52.11204489  -85.51223372    3.07012314   35.12486895
  -21.32466606   -5.35043451 -118.42374128  -85.99649534  -18.50876853]",-40.21645248982065,44.90656846885862,35.12486895008706,-118.4237412835663,8000,12000,0,129.17045164760202,28.54906950192526,23.07123115239665,180.79075230192393,368.0781780765392,1
0.8447755,0.022183126,9.90311,0.99031097,91.25952,32.377754,-123.001915,119.57558,32.308617,219.00769,50.593933,126.21886,33.239532,220.56844,57.21777,-1.9645396,2.0900936,4.771961,-6.9988966,-0.11662211,0.6912752,3.0196316,-2.22548,-0.28233495,0.14612423,0.08432025,-0.74318475,1.0454212,0.013096554,"[360.71050293 658.38997218 934.20530035 732.25145273 993.0732366
 776.31762251 727.80537594 306.35057557 847.81230195 755.00019089]",709.19165316359,210.76502999327943,993.0732365957152,306.3505755699643,12000,17000,0,125.08997519593686,28.936210989952087,21.127477985341102,175.15366417123005,541.3898109733127,2
1.0446813,0.013067638,12.702362,1.2702363,60.92475,16.649487,-187.25542,182.58957,57.630684,302.25827,103.68844,186.50906,57.039124,302.3349,107.32439,-2.2650628,1.7857271,2.8376656,-6.960513,-0.037323747,0.61639565,2.4663985,-1.8832737,-0.341673,0.17324038,0.13234699,-1.0033957,1.1524985,0.01714981,"[2021.00537098 1353.67650591  692.58216712  926.76370928  446.34530332
  328.01957074  397.68463296  297.18196824  426.59368523  255.50406242]",714.5356976182226,543.176476647035,2021.0053709819517,255.50406242001105,16000,22000,0,122.63736859569326,27.0942023107782,20.82736107846722,170.55893198493868,712.4034570464864,3
1.1531117,0.017161602,12.808952,1.2808952,106.311035,22.107367,-256.68375,254.36862,90.49488,447.87985,125.10891,258.5239,88.964516,441.9377,130.85806,-1.2606807,2.2323582,4.6179934,-7.2981896,0.027960977,0.75242317,2.3881683,-1.9909483,-0.39661703,0.21069807,0.18281797,-1.1988239,1.3873724,0.015330422,"[2161.45089817 2140.389563   2219.23947071 2220.63960063 2370.01047189
 2295.95518411  385.82150584 2210.30720653 2155.05275174 2213.41993892]",2037.228659154814,554.3060209624529,2370.0104718852185,385.82150584380923,20000,27000,0,123.0724608679302,27.550037991721183,21.85994529351592,172.4824441531673,885.7268639518879,4
1.3888525,0.015359682,15.3641205,1.5364121,136.03438,28.846882,-358.59708,355.17712,131.96811,597.04645,149.2025,356.79733,128.99985,573.87695,151.9281,-0.19758832,3.0011601,8.792863,-5.8803906,0.004874474,0.9105834,2.5368156,-2.2518578,-0.45925698,0.22502053,0.068648666,-1.3470342,1.6123501,0.00846571,"[2692.83795408 2515.03315049 2552.26804566 2677.40507992 2494.75423274
 2739.1760681  2641.26731724 2605.60410794 2657.66574805 2679.83119861]",2625.5842902828963,77.09862756687049,2739.1760680999023,2494.754232743648,24000,32000,0,129.74283995199949,28.39135857997462,21.994118144270033,180.12831667624414,1065.3359134476632,5
1.6117465,0.00849103,18.669346,1.8669347,116.89687,42.621017,-462.16455,455.185,165.67967,730.5332,167.9455,459.74316,164.10025,722.6899,173.9784,-0.42441562,2.5088913,7.5955787,-5.1910496,0.018225195,0.8645351,2.3146482,-2.087457,-0.4890952,0.2144586,-0.014461324,-1.3625927,1.7243465,0.0065839575,"[2828.15949946 3003.46162819 2618.42025184 2849.37148156 2886.86075529
 2801.19709226 2885.85563237 2877.08196868 2941.6142615  2729.42906276]",2842.1451633918978,102.82513861192376,3003.4616281862714,2618.4202518373545,28000,37000,0,128.22781651793048,27.87213307712227,23.790333015378565,179.8902826104313,1246.89247624157,6
1.7251089,0.0065787444,20.391747,2.0391748,134.31175,40.960236,-580.0475,579.718,206.4138,870.69086,195.83714,580.6615,203.8655,868.5578,199.73068,-0.10618477,3.0337222,7.239845,-11.61224,0.044077694,0.88678974,2.2588856,-2.1539214,-0.5460806,0.22719783,-0.021850228,-1.3467463,1.8142908,0.009204874,"[3347.80944526 3372.50182389 3363.35057416 3554.07241599 3298.20620523
 3482.82224545 3395.70623033 3244.49874631 3546.72529796 3565.81554856]",3417.1508533155807,107.73284658862255,3565.8155485602647,3244.498746308841,32000,42000,0,128.20434849569574,29.539598107803613,23.35998937813565,181.103935981635,1426.6319704223424,7
1.8144636,0.0092092585,20.36407,2.0364072,162.71606,47.666504,-661.4111,656.20465,229.68564,1039.9319,206.13573,661.4815,228.50308,1015.10895,210.74792,0.37200865,3.0531464,8.052788,-6.4546986,-0.05631427,0.93361336,2.65058,-2.106049,-0.5996502,0.2529432,-0.08380608,-1.5444207,1.8094561,0.016029088,"[1696.25278236 3266.1503735  3469.77596612 3760.59448379 2421.45311777
 3612.62973335 3673.69008255 3708.72939744 3450.22057745 3648.23049407]",3270.7727008384772,642.3158423852061,3760.5944837888283,1696.2527823554542,36000,47000,0,129.65291046677157,28.175388231873512,23.530622941441834,181.35892164008692,1607.578623380512,8
1.8093636,0.016028073,18.622683,1.8622683,187.48602,95.89601,-762.35724,762.6053,278.57016,1122.8439,204.99916,767.28094,278.54306,1123.581,203.67255,0.64439094,3.2203631,10.009582,-11.538987,-0.08419856,0.9791118,2.5454803,-2.656161,-0.5911507,0.26712713,-0.014669597,-1.7054617,1.897831,0.008491794,"[4317.83454654 4110.1667456  4271.29119976 4034.56462958 4067.58577139
 4208.73634556 3933.93500836 4078.414103   3855.50575947 1369.87768186]",3824.791179112427,829.3396094120194,4317.834546536084,1369.8776818553506,40000,52000,0,127.45694114081562,27.763393457978964,22.461656449362636,177.68199104815722,1784.161436028313,9
1.8956875,0.008445034,21.439865,2.1439865,136.04855,131.9807,-862.9387,862.7285,304.90073,1271.9165,220.9783,869.53784,305.00006,1278.8065,221.02731,1.1002226,3.3312573,11.755883,-8.076817,-0.12638126,1.0221453,2.6664343,-2.6290972,-0.60542154,0.2676194,0.019006029,-1.8004013,1.9335282,0.013410993,"[4348.89696951 4047.47515992 4158.50573746 4411.96623812 4242.5369209
 4224.41158034 4208.84563058 4261.04679558 4345.19868463 4116.13574685]",4236.501946389965,106.34275513343165,4411.966238122231,4047.4751599205033,44000,57000,0,122.70811059232801,26.664538546931,21.260485434904695,170.6331345741637,1955.7479200907983,10
1.9330829,0.013407258,21.686853,2.1686854,242.14912,84.31851,-1011.228,1009.56006,280.9735,1401.9012,228.86476,1014.52386,277.50854,1400.5823,230.50734,1.4761403,3.234308,11.345076,-6.1701055,-0.16003454,1.0491173,2.5130434,-2.6139758,-0.6539487,0.27059346,-0.029707983,-1.8897686,1.9739945,0.012944192,"[1100.10430158 4480.01292414 4337.52276954 2270.29407369 4342.90642105
 4266.59998371 4447.56000187 2313.91177171  909.12664821 4434.77606332]",3290.2814958810436,1402.961163592106,4480.012924139078,909.1266482089594,48000,62000,0,122.78400045400485,27.61835214914754,22.328372603282332,172.73072520643473,2128.1301995650865,11
