Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
18	506.41156	95.52873	811.3081	347.96747	543.86475	102.832115	825.5902	459.48508	99.28571	103.2	90000	197.47629	100.024445	351.7701	-25.467478	197.47517	100.02715	349.72403	-48.36078	199.30644	99.80414	357.92245	-19.19962	-5.0038304	4.766719	35.26111	-22.510206	-201.51285	13.996666	14.01543	17.541708	1199.5521748065948
19	552.8719	175.82881	1399.8364	353.76843	662.64465	131.97183	884.0186	509.10822	108.40426	127.2	95000	199.51279	100.22632	352.07968	-41.72066	199.51198	100.22689	352.66708	-27.991955	201.26915	100.0118	351.1119	-19.495459	-5.0085297	4.735889	33.19581	-21.563522	-203.48312	14.117835	14.1731205	17.827812	1268.1428186893463
20	514.88654	105.49965	821.2226	337.09387	618.10724	209.57945	1210.0405	445.39673	99.64	117.4	100000	200.78438	101.014565	353.4098	-41.43124	200.7833	101.016846	353.33575	-21.151081	202.5159	100.79003	354.36575	-28.808857	-5.128419	4.6816463	32.98797	-22.297028	-204.69284	13.989221	14.016638	17.074278	1335.7251596450806
21	536.89417	152.10104	959.7328	309.52832	486.80133	20.207855	536.12115	461.1209	104.354164	90.1	105000	202.38719	101.5108	356.28738	-43.245117	202.38594	101.51404	356.35864	-22.497482	204.05634	101.28723	354.78595	-32.69778	-5.1423383	4.693299	36.03211	-22.671555	-206.24086	14.241333	14.290437	17.055386	1402.8909058570862
22	547.03186	135.80594	1003.592	324.421	608.5382	135.96979	885.9839	446.96384	106.680855	122.8	110000	203.81902	101.846176	357.57364	-25.778612	203.81694	101.84897	359.1692	-14.253782	205.47478	101.6272	359.20383	-28.10537	-5.0725017	4.7411923	35.162533	-21.332058	-207.63225	14.262725	14.2915745	16.74191	1471.4550137519836
23	534.48444	131.7668	966.3772	331.58292	506.9681	90.616234	763.63635	405.85315	105.55319	95.9	115000	205.74193	102.27689	360.1285	-30.066866	205.74129	102.28019	358.33698	-24.777458	207.34077	102.07209	360.9	-32.377926	-5.052018	4.6985855	38.68183	-22.659618	-209.47792	14.344591	14.252848	16.66521	1539.5732595920563
24	560.6424	115.733955	878.887	379.19104	546.0619	109.7444	761.9057	445.9811	110.32609	105.1	120000	206.85394	102.75685	362.2265	-22.850271	206.85287	102.75995	360.49957	-43.74664	208.4238	102.534325	365.87598	-15.70993	-5.010246	4.738735	36.841236	-22.414957	-210.5733	14.623288	14.527318	16.87701	1607.693719625473
25	544.82166	126.37852	1088.181	368.98862	593.7396	92.648125	755.3813	426.2265	107.67391	116.7	125000	208.12094	103.33158	362.7701	-28.34767	208.1193	103.33538	362.98068	-18.302908	209.70723	103.123	365.7218	-28.550653	-5.0038137	4.761396	37.546886	-21.77039	-211.82166	14.5360565	14.596555	16.432238	1674.6735408306122
26	527.14667	140.04297	966.6736	342.06842	636.7295	109.077545	839.81323	483.97052	106.46809	124.2	130000	210.46733	104.10101	366.46735	-43.053734	210.46617	104.10289	365.23682	-36.33881	212.0503	103.897865	365.83606	-22.143991	-4.859539	4.844151	34.534264	-23.463898	-214.15965	14.540244	14.472612	16.367613	1742.8058726787567
27	576.734	142.24742	901.3543	286.67407	610.91266	70.698235	712.57245	498.029	114.38636	115.4	135000	211.15186	104.564445	365.91458	-24.103703	211.14963	104.57017	365.87186	-40.166298	212.64012	104.32584	365.61758	-14.933947	-5.051105	4.8120394	36.449314	-23.29995	-214.7722	14.914374	14.807324	16.20864	1811.2001070976257
28	520.734	119.65441	957.33673	365.4751	610.8508	67.88281	732.22736	489.47797	101.14286	114.9	140000	211.63103	104.65256	367.1598	-33.239487	211.62936	104.657135	366.853	-29.53343	213.07306	104.42042	366.45084	-35.208786	-5.140927	4.7692018	40.786263	-20.406214	-215.19724	14.591931	14.519143	15.748563	1878.159333705902
