Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.006943104,0.00688592,9.963152,0.9963152,1119.0573,131.84372,-11.51557,-0.008285135,0.03862575,0.20809883,-0.2462841,0.074856326,0.10970629,0.8067758,-0.01146394,-11.359797,0.98695993,-7.7815304,-14.043204,-2.96E-05,0.024679717,0.24490777,-0.31587854,0.005160166,0.024809,0.34781525,-0.1359852,0.0951514,0.045305632,"[273.85484536 279.77707294 252.65891008 246.17465917 290.14795914
 244.817088   214.97998031 229.24599103 226.30604683 242.277978  ]",250.0240531,23.22565366,290.1479591,214.9799803,4000,7110,0,120.5659638,0,10.42081418,130.9867779,132.3423754,0
0.10922706,0.042813033,5.520955,0.55209553,2814.853,643.3747,-489.3463,470.74268,139.7089,641.12146,7.7331433,494.1817,128.84584,661.38824,35.789734,-1.7576535,4.6608834,16.928799,-13.463448,0.4047916,0.83102036,2.4626212,-2.2589636,-0.29334077,0.14624026,-0.024157967,-0.77811235,0.37114963,0.051399477,"[214.24646444 215.21653323 282.95632362 252.9442551  186.34025862
 223.79022604 227.22371343 148.87248192 296.71113564 152.31527326]",220.0616665,46.72177197,296.7111356,148.8724819,8000,12364,0,113.3338935,1.357979887,9.504889806,124.1967632,256.354339,1
0.31108895,0.041853204,5.8252063,0.58252066,7512.995,3806.0178,-845.5283,801.97974,303.00726,1214.5424,17.252533,826.7396,289.15134,1120.115,0.32331285,2.2145827,7.1508694,24.325884,-11.008411,0.19800787,1.0818496,2.8319023,-2.4687092,-0.3556279,0.15082695,0.04307904,-0.8427564,0.093883395,0.021108937,"[249.85681525 210.16260674 318.9109862  328.72050811 214.62457537
 225.81532369 236.13242774 332.60932672 273.37281436 315.13851546]",270.53439,46.85969848,332.6093267,210.1626067,12000,17558,0,125.9528089,1.173605606,8.457299165,135.5837137,392.2269864,2
0.26425815,0.06103593,4.905781,0.4905781,9320.73,3553.3223,-824.65643,817.133,428.30615,1392.943,14.116048,857.4968,431.68658,1425.829,31.160383,0.26545325,6.5900283,33.384888,-14.030455,0.41757718,0.93226206,2.7888362,-2.5304065,-0.33187172,0.14733376,-0.0171173,-0.8182511,0.04592084,0.014542121,"[272.95379593 375.14476252 239.5295442  354.13492023 118.18736906
 310.3008031  285.48438625 320.24923288 219.31080979 228.27509035]",272.3570714,71.24750169,375.1447625,118.1873691,16000,22858,0,124.4789733,1.462845031,8.708748305,134.6505667,526.7696641,3
0.052006602,0.016287936,7.85151,0.785151,8351.932,1988.4391,-862.28204,836.44727,450.44714,1474.1462,22.71114,874.2512,440.6234,1465.3071,42.730976,0.65069413,6.2514234,22.515902,-11.915646,0.3964839,0.9434518,2.9103622,-2.8535547,-0.34266287,0.1306173,0.002361313,-0.7840905,0.074817225,0.06297706,"[171.97268358 228.37569954 184.43767584 155.77721705 148.93562191
 216.65310176 197.43282608 237.16504125 208.0695504  160.52686783]",190.9346285,29.77031179,237.1650413,148.9356219,20000,28110,0,123.6185043,1.355569537,8.691388474,133.6654623,660.1422215,4
0.041293792,0.04050464,5.638084,0.5638084,23278.723,1922.8513,-889.2762,893.4884,429.08978,1601.2356,-28.436306,895.99695,422.46442,1543.8154,3.66669,0.2944922,5.74108,27.317944,-11.267056,0.33149886,0.9490874,2.8692238,-2.6224139,-0.33373225,0.13748905,-0.035862885,-0.82202893,0.04527331,0.012877049,"[364.72940534 766.14101969 315.62841275 348.36133377 298.9837769
 345.72655736 274.19049382 472.41272591 241.60899703 329.6061708 ]",375.7388893,142.641818,766.1410197,241.608997,24000,33357,0,125.7689,1.063636114,8.584572038,135.4171081,796.426878,5
0.06491978,0.016798383,7.7714095,0.777141,14374.219,3679.491,-831.6261,815.8655,381.51434,1348.5793,-13.082329,842.35815,375.80124,1376.6583,-35.419647,-1.3512497,7.8926697,34.269966,-13.108225,0.23361431,0.90399766,3.074807,-2.4974465,-0.2974605,0.1388856,0.010631695,-0.8688117,0.04686519,0.012271633,"[387.63863725 231.84237986 283.47781377 232.49275142 210.178406
 262.49395217 313.95562904 308.50591736 185.08819775 349.57096226]",276.5244647,60.86783286,387.6386372,185.0881977,28000,38771,0,131.6878233,1.930474086,9.439724522,143.0580219,939.1551824,6
0.034331344,0.011866384,8.619019,0.8619019,3864.9592,1396.3472,-816.69806,791.06824,386.20618,1339.3209,41.225235,806.5311,378.01736,1310.3163,28.223074,-2.871815,6.5729113,25.782349,-16.291588,0.310042,0.81554985,2.9254873,-2.1965911,-0.29081342,0.12448213,0.000608325,-0.7908216,0.018110972,0.008589425,"[418.99324317 364.71156294 484.96947497 437.8382176  253.73063469
 351.47537038 395.51798119 430.68289822 348.87786976 513.79986145]",400.0597114,71.08607467,513.7998614,253.7306347,32000,44329,0,116.3711267,1.602122035,9.479764633,127.4530134,1066.939164,7
0.015508165,0.008545469,9.428839,0.9428839,3717.3228,1345.9607,-821.2663,813.1926,375.0221,1315.5297,23.320314,822.57324,369.66873,1313.7981,7.0106206,-2.1988986,5.5474677,23.28064,-13.28009,0.26135388,0.87595564,2.8620358,-1.9405602,-0.3062635,0.12780128,0.053051636,-0.9900497,0.019281868,0.0114415,"[407.58703242 314.8239245  432.41922282 311.03604956 266.17540004
 302.52948275 370.46791564 325.75065725 327.36350209 257.62125946]",331.5774447,53.66941155,432.4192228,257.6212595,36000,49757,0,139.5161276,1.933317243,8.522545416,149.9719902,1216.761373,8
0.017799268,0.010943364,8.816143,0.8816143,3121.6013,989.09937,-811.66583,801.44543,382.23535,1282.7067,50.181725,809.9342,388.18414,1293.7047,23.251516,-3.5545878,5.684406,26.544445,-13.706539,0.2421793,0.8057446,2.7579958,-2.1729429,-0.27834186,0.12059464,0.07523736,-0.7942628,0.01299909,0.010015417,"[326.8381879  457.94277765 285.00486215 293.41202824 509.87194584
 353.43731687 455.95097492 277.04636612 356.5261791  278.02824808]",359.4058887,81.28418785,509.8719458,277.0463661,40000,55163,0,115.1041266,1.783578573,8.558083407,125.4457886,1342.349174,9
0.013958114,0.009928061,9.056744,0.9056744,2198.744,1235.9658,-773.05084,759.2167,374.48898,1275.6694,-13.942502,762.4934,379.13083,1273.0469,16.048208,-3.206573,5.797595,20.478437,-21.265953,0.29867315,0.79246485,2.7076516,-2.1882071,-0.28928223,0.12268542,-0.025431097,-0.79172945,0.019160291,0.008935119,"[361.32772678 344.55214366 312.04795388 391.24858578 331.73335913
 385.25104154 304.56930215 478.87622638 422.10505715 438.17122575]",376.9882622,54.07289306,478.8762264,304.5693022,44000,60540,0,122.3018096,1.925862634,9.165374688,133.3930469,1475.703485,10
0.019433789,0.009066802,9.281918,0.9281918,2307.058,1412.6714,-737.1197,732.7146,368.86438,1259.8873,-6.908396,744.5961,371.60495,1269.1628,-36.203636,-3.0240614,5.1932096,16.52407,-14.508125,0.25146198,0.7986274,2.4823089,-1.8922646,-0.28600964,0.12176811,0.028213933,-0.76152146,0.019165855,0.009396898,"[330.37146516 383.16856917 308.21546149 429.79925221 306.96686662
 325.88222925 334.24784487 453.6396861  330.60036632 379.88777071]",358.2779512,48.58653507,453.6396861,306.9668666,48000,65904,0,126.2013084,1.887610253,8.585997478,136.6749161,1612.469223,11
0.018897824,0.00825422,9.514362,0.9514362,3038.927,1677.1677,-759.4314,758.1179,348.20117,1256.2648,5.889224,746.63495,344.87686,1258.2241,-31.336428,-2.6807213,6.1945176,18.869911,-15.801392,0.26042053,0.8311358,2.9455402,-2.5514941,-0.29456192,0.13205202,-0.052611254,-0.81029713,0.01876002,0.010252954,"[235.56542965 350.09226428 405.81882686 406.76348556 276.33415876
 573.5966942  225.92936925 378.26581499 252.02840719 310.98175187]",341.5376203,100.7236157,573.5966942,225.9293692,52000,71311,0,120.3484676,1.978837632,8.650147773,130.977453,1743.318625,12
0.015432552,0.013658315,8.269392,0.8269392,2533.9133,739.92566,-747.6807,733.2897,360.79285,1246.1709,-54.793823,741.98706,363.91168,1263.1309,-31.260052,-4.3369246,5.1476893,21.655647,-15.53306,0.20556091,0.76372063,2.6607294,-2.8314886,-0.2701604,0.12107934,0.11615047,-0.9241901,0.027516171,0.010109147,"[268.72160676 191.78219537 322.38017748 307.17109487 448.97772235
 437.81280178 276.77547994 340.65214844 335.23239628 416.49194706]",334.599757,77.11076272,448.9777224,191.7821954,56000,76807,0,123.1614413,1.851513095,8.766241987,133.7791964,1876.850826,13
0.027435515,0.009859667,9.075754,0.9075754,1438.7502,738.7028,-746.42194,736.9883,359.9713,1245.2614,4.2734933,744.30994,361.24698,1244.6873,30.213085,-4.136909,5.0136943,19.419058,-15.609134,0.28717494,0.751777,2.6306875,-2.037206,-0.2780457,0.120392404,-0.011416793,-0.84090716,0.034950674,0.017138531,"[562.71199921 461.97486311 340.96966813 403.97482248 357.51980961
 258.55972502 282.51734998 353.95897131 447.7749326  406.88790997]",387.6850051,85.06563436,562.7119992,258.559725,60000,82166,0,124.7255279,1.604162341,8.74051506,135.0702053,2012.39625,14
0.04640303,0.017569967,7.655531,0.7655531,2797.1416,785.30743,-724.1252,705.96436,354.6982,1224.7932,24.194733,717.2339,353.8649,1224.4872,11.65347,-4.607859,4.7756968,10.597316,-15.376862,0.29053527,0.70475453,2.901242,-1.9047627,-0.27586344,0.12146143,0.010359079,-0.8341486,0.0504992,0.028933838,"[344.48114839 606.88118291 500.77280583 441.26834098 418.88222407
 454.85810168 650.12032075 384.23673068 337.80112307 271.48574866]",441.0787727,112.8826664,650.1203207,271.4857487,64000,87452,0,131.7320121,2.080310041,8.42125775,142.2335799,2154.873165,15
