Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
17	5768.8657	573.5314	6481.329	4772.113	3026.4888	1743.4529	6073.7163	902.5183	1000.0	1000.0	85000	317.08215	104.8664	475.86624	28.514536	317.0823	104.86558	475.43304	20.90116	317.2079	103.89891	470.47726	30.169588	3.3682013	4.49732	57.971325	-16.384846	-318.8149	6.501508	6.5615287	8.703619	1164.364145040512
18	4604.3184	2256.1868	6435.77	1017.1556	6092.9087	1566.3861	7456.529	3333.8894	1000.0	1000.0	90000	327.93488	111.78263	485.48108	22.30011	327.9349	111.78179	487.17014	13.714015	328.05515	110.83604	481.88824	26.320423	3.4200213	4.55149	60.27389	-14.151751	-329.65118	6.9838414	7.0975904	9.329039	1232.2948904037476
19	5588.3545	1881.8519	6669.1494	1832.4226	7158.6406	187.08626	7477.095	6944.6025	1000.0	1000.0	95000	337.39856	119.32563	506.49432	16.569206	337.39923	119.323715	505.69547	11.173177	337.46548	118.40505	506.10843	18.941753	3.3818333	4.5597515	53.10373	-12.908955	-339.0776	7.4635134	7.5898795	10.0398655	1301.8709394931793
20	6593.8164	264.17865	6892.437	6152.789	7094.9272	111.21548	7311.019	6965.9966	1000.0	1000.0	100000	351.36172	122.13419	536.3393	0.8984325	351.3623	122.13329	531.842	-1.3745735	351.40274	121.1879	524.80707	2.5204449	3.5681233	4.566934	61.569214	-15.883182	-353.0069	7.8940773	8.059622	10.430379	1371.3714730739594
21	6736.0454	247.81378	7087.477	6428.8735	7716.083	197.77463	7910.8	7216.738	1000.0	1000.0	105000	364.4976	124.89481	539.9679	-12.357338	364.49786	124.89506	542.62366	-13.456848	364.52402	123.938126	540.90985	-10.221646	3.649441	4.560096	53.64147	-13.660418	-366.1272	7.8650265	7.7937202	10.316335	1439.5145723819733
22	5661.6006	926.83405	6874.329	4557.0225	7270.737	125.49999	7456.012	7090.6035	1000.0	1000.0	110000	376.59775	126.621185	551.02997	-26.317993	376.59744	126.622284	548.781	-29.002201	376.5238	125.67047	546.7257	-25.978794	3.659704	4.514215	56.314785	-14.491247	-378.13882	8.331437	8.496402	10.625781	1509.072536945343
23	6217.124	1049.2847	7658.2583	4630.4355	7014.4414	1020.64233	7421.624	3965.346	1000.0	1000.0	115000	385.43152	127.5284	564.0908	-38.48552	385.4307	127.53085	564.71375	-40.14916	385.33276	126.579414	567.2276	-36.3229	3.8406048	4.4918194	49.506706	-16.29871	-386.97934	9.50269	9.683814	11.075035	1577.7824759483337
24	6869.714	226.56693	7179.4365	6593.8813	7455.517	1340.0073	8051.7856	3451.1714	1000.0	1000.0	120000	394.92136	128.10834	569.19745	-43.387917	394.92044	128.11052	571.82275	-46.59606	394.7903	127.141685	571.7467	-40.24271	3.9091966	4.4783216	54.549427	-13.201767	-396.46204	9.325878	9.476808	11.121172	1642.743483543396
25	7274.7666	209.69229	7589.4966	7050.437	7767.557	945.1886	8247.875	4977.95	1000.0	1000.0	125000	405.03018	129.45932	587.8759	-47.666504	405.02963	129.46098	580.37537	-53.168777	404.9052	128.5042	577.0366	-46.146496	3.9696398	4.4535923	67.50576	-15.196243	-406.53683	8.960657	9.124851	10.768567	1709.8274128437042
26	7338.97	196.15773	7505.9883	7034.3506	7697.1094	99.04406	7869.0684	7557.396	1000.0	1000.0	130000	415.53137	131.12125	589.7592	-52.782455	415.53067	131.12311	586.94507	-54.75129	415.39603	130.12025	585.9595	-49.633907	4.095872	4.4912014	50.785202	-14.462031	-417.05402	9.084219	9.195112	10.881047	1778.8661692142487
