Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
17	-212.1158	97.09156	-79.51937	-474.74332	-279.25153	57.93672	-181.86899	-358.6123	100.0	100.0	85000	-72.69044	18.630407	69.271904	-165.29158	-72.69219	18.63396	60.82764	-165.58902	-72.17992	17.76154	61.29002	-162.5428	4.1681876	5.9287586	45.265053	-14.378229	66.38009	10.402611	10.143816	10.654028	1018.7655138969421
18	-183.6003	73.725464	-75.06509	-463.74274	-162.98624	26.525703	-124.35145	-211.86723	100.0	100.0	90000	-75.78196	19.519405	81.72719	-170.50655	-75.783714	19.526516	79.005066	-169.19589	-75.37731	18.645815	75.9383	-160.63696	4.483809	6.092625	46.84955	-14.756403	69.002975	11.541944	11.256456	11.912484	1079.6310060024261
19	-194.60692	72.4745	-85.60702	-474.32892	-162.85167	28.996183	-88.116875	-192.95503	100.0	100.0	95000	-78.611595	18.536108	68.69221	-176.32394	-78.61274	18.538364	49.91256	-162.42253	-78.21175	17.586056	51.47879	-164.70634	4.2435923	6.19514	57.647766	-14.748772	71.9766	11.904333	11.747111	11.377063	1141.4486067295074
20	-197.06737	63.04661	-84.03629	-344.01453	-87.381836	26.595333	-58.47535	-133.7816	100.0	100.0	100000	-80.72731	17.966824	48.75616	-164.5099	-80.72957	17.98259	80.02504	-165.89084	-80.40236	17.058813	15.988471	-160.57738	4.1303473	6.1632786	52.99745	-14.020021	74.27366	13.384022	12.871277	11.413485	1200.8078775405884
21	-196.58629	80.69552	-63.345566	-393.96118	-284.50995	92.05536	-133.5268	-369.29584	100.0	100.0	105000	-82.95975	18.554867	94.9588	-179.85918	-82.96108	18.568306	61.602207	-170.34128	-82.6857	17.645584	25.368908	-172.36464	4.3476276	6.2866445	67.563736	-13.612473	76.3092	13.818547	13.476822	12.145584	1260.7211859226227
22	-223.13463	73.332146	-63.372513	-375.74002	-140.82817	41.421085	-85.4981	-215.67796	100.0	100.0	110000	-86.242455	19.797478	66.501175	-177.59798	-86.243515	19.80602	59.236595	-174.16418	-86.11171	18.974056	35.257607	-171.53455	4.350524	6.3839526	57.123226	-15.188618	79.61995	14.964116	14.595933	13.097811	1320.558832168579
23	-181.828	60.85603	-61.170177	-398.7355	-135.51897	31.521093	-66.12253	-179.13297	100.0	100.0	115000	-90.141815	20.524508	48.092083	-185.9702	-90.14406	20.532015	47.06993	-187.86064	-90.01642	19.692902	30.786375	-186.79523	4.448458	6.475961	62.70422	-13.121157	83.328384	15.653803	15.362329	14.006628	1377.8030273914337
24	-214.69188	105.610916	-44.71428	-560.1506	-141.18053	40.197758	-65.57841	-200.00415	100.0	100.0	120000	-92.32044	20.32423	54.33659	-205.96829	-92.32295	20.326115	60.998066	-207.03496	-92.23511	19.416527	34.21901	-189.20808	4.443139	6.3337145	63.394913	-12.680749	85.48994	16.177963	15.858092	14.438643	1436.740516424179
25	-179.417	68.467964	-70.275345	-364.73422	-95.21788	18.81783	-63.112583	-131.45116	100.0	100.0	125000	-93.75162	21.334473	54.48168	-229.73596	-93.753395	21.332273	78.77347	-229.62695	-93.66994	20.490826	23.228598	-240.6456	4.5939913	6.351345	68.699554	-12.672963	86.73166	16.773159	16.586994	15.101188	1497.5584511756897
26	-178.92043	59.82641	-62.44989	-293.07162	-206.60213	63.463516	-132.81691	-290.5291	100.0	100.0	130000	-94.91605	22.472574	58.94472	-216.0774	-94.917015	22.490227	71.35405	-217.37924	-94.806496	21.700846	27.950518	-225.24992	4.4512224	6.395501	63.233364	-15.508325	87.95966	17.107906	16.771606	15.0368185	1557.159420490265
27	-186.71492	73.84532	-74.5612	-376.73987	-112.323685	29.970583	-74.54789	-165.34103	100.0	100.0	135000	-94.68966	22.360477	76.59692	-223.82523	-94.69137	22.354542	66.50991	-230.17848	-94.59695	21.517126	29.918962	-228.48785	4.4323363	6.441705	70.47362	-14.180788	87.81685	16.6791	16.622465	14.84809	1615.7632613182068
28	-199.74179	77.50334	-69.13671	-393.25375	-130.02121	72.225945	-37.86132	-291.1008	100.0	100.0	140000	-93.60812	21.52711	61.561462	-234.7682	-93.611015	21.528934	58.112717	-216.15286	-93.46359	20.563784	46.880474	-219.32465	4.498055	6.2906456	74.78557	-15.403156	86.762184	16.991123	16.756508	14.425439	1675.0099685192108
29	-190.78989	91.52532	-74.03934	-414.9758	-81.140175	15.817185	-57.563316	-103.77677	100.0	100.0	145000	-93.740555	20.77807	68.665955	-221.36185	-93.742516	20.778502	72.46324	-221.31743	-93.768	19.827965	29.147821	-201.68459	4.519361	6.3198967	54.915318	-16.63233	86.91428	18.028988	17.86845	14.4863	1735.0607481002808
30	-130.37628	55.347916	-68.18485	-423.95303	-99.57622	33.14906	-54.481808	-160.42574	100.0	100.0	150000	-99.100975	21.895437	76.15423	-223.41632	-99.10212	21.902811	102.49688	-213.29796	-99.24677	20.95454	21.590025	-227.17276	4.463947	6.5468464	61.9548	-16.409172	92.06195	20.010769	19.583921	15.916324	1794.830501794815
31	-138.96733	57.65445	-55.482304	-350.15253	-120.54964	31.965778	-70.89308	-177.13402	100.0	100.0	155000	-101.93522	21.600119	96.457565	-226.5324	-101.93505	21.61902	89.15037	-231.30652	-102.03385	20.612865	30.98893	-201.17174	4.3207493	6.5577283	61.86359	-14.079529	94.84436	21.451937	20.875849	16.495226	1854.7001721858978
32	-141.04695	41.1586	-74.72721	-248.32224	-98.30605	13.4065895	-78.08755	-116.66235	100.0	100.0	160000	-103.25833	22.333841	126.41264	-221.31107	-103.26121	22.354774	76.815445	-224.12674	-103.40058	21.368834	53.857548	-227.57721	4.339044	6.529552	60.11409	-13.966393	96.13532	22.052261	21.32795	16.76641	1914.2686026096344
33	-165.69086	63.845287	-57.31663	-367.49576	-132.20166	52.862537	-58.7675	-226.68738	100.0	100.0	165000	-102.960464	22.917625	62.98178	-212.88416	-102.96227	22.930372	85.79073	-209.15329	-103.04711	21.921848	60.052246	-203.60765	4.192193	6.5038357	66.46928	-15.319368	96.018555	21.150736	20.433086	15.874583	1974.8983852863312
34	-157.49165	72.20387	-40.190742	-321.43716	-98.91545	13.048071	-79.01915	-121.493	100.0	100.0	170000	-101.541306	23.082664	103.81172	-199.59392	-101.54383	23.100903	97.99494	-206.12177	-101.62912	22.098558	43.356956	-196.69757	4.105496	6.394153	73.91656	-14.278259	94.62153	21.546106	20.991493	15.764184	2036.3329701423645
