Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,total_rewards,total_rewards_mean,total_rewards_std,total_rewards_max,total_rewards_min,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0019376408,0.693145,0.14916778,0.014916778,70.34567,4.4341574,-2.079393,-0.0023045375,0.0010986081,0.0017850115,-0.0054990025,0.00880776,0.0014018345,0.013202997,0.0060151126,-2.0737145,0.3831366,-0.82241416,-3.171927,3.8408183e-05,0.0009007452,0.001969648,-0.00234535,-0.0005568333,0.0011438006,0.001831908,-0.0030535706,0.005756306,0.674224,"[ 61.38693623 113.01327395 116.02390092  78.44867491  73.2734333
 150.57021339  74.81610569  67.92799259 137.92069701  73.75640018]",94.71376281701069,30.270942841517652,150.5702133908658,61.38693623112616,1000,7000,0,23.39730157610029,0,15.17737470054999,38.57467627665028,39.968701692763716,0
0.0069435285,0.67628586,0.16881907,0.016881907,85.0119,1.4627635,-10.905362,10.007549,8.671779,34.86257,-6.73171,11.5984535,8.22942,35.272766,-3.3859167,-1.920514,0.50672823,-0.3085872,-3.628249,0.117926694,0.2027278,0.4952334,-0.24866314,-0.16378818,0.025983334,-0.101779826,-0.23183076,0.092427224,0.22269996,"[ 88.31661483 160.34940943 199.30750984  95.68465525 175.6756274
 112.24698586 136.9068843   55.84862928  52.47216383  77.45470909]",115.42631891163653,48.202572036849375,199.30750984122517,52.47216383346039,2000,12000,0,25.518305903766304,1.3997573098167777,11.710441849660128,38.62850506324321,78.6954736080952,1
0.0934286,0.22231428,1.8811272,0.18811272,36.145943,3.5269725,-17.406351,15.449587,16.395124,67.51149,-5.86962,18.184551,16.13917,68.73525,-1.3462957,-1.8057686,0.76702154,1.3376659,-3.7438653,0.12421521,0.31657064,1.3321635,-0.33710226,-0.1883903,0.10197929,-0.09061712,-0.5328781,0.060991425,0.08260755,"[198.45948536 203.83292039 187.31556748 197.42140996 187.39513631
 197.72362659 189.36371706 189.8156448  210.07286065 192.93700859]",195.43373771996409,7.129974377300457,210.0728606465592,187.31556748001643,3000,17000,0,25.6551773683168,1.500083340331912,11.460345430765301,38.61560613941401,117.88746403809637,2
0.06522969,0.07827815,4.0949674,0.40949675,41.060658,30.66106,-24.804773,22.588032,28.951641,106.101166,-2.1414497,26.636106,32.089897,126.92295,-0.38471577,-1.7094694,0.88051796,2.426793,-3.8710275,0.021276304,0.36924258,1.6513544,-1.6084194,-0.21116179,0.13883194,-0.0946959,-0.5879069,0.032008044,0.03112787,"[180.78277111 189.04334453 204.47166565 188.49249267 192.99342232
 188.41003375 200.60154835 190.37501448 197.51156167 195.99486851]",192.86767230346985,6.570561461927455,204.4716656525169,180.78277110732273,4000,22000,0,27.21719363378361,2.0741261886432767,12.083760148379952,41.37507997080684,159.18084556423128,3
0.030359143,0.030940836,6.3432026,0.63432026,30.265991,9.992334,-42.422386,40.724205,53.15372,156.76782,-4.8803844,42.86013,53.4645,155.05243,-3.3447578,-1.4440154,1.2674633,4.5372353,-3.9453616,0.102510355,0.45624965,1.8393766,-1.8420365,-0.26759928,0.20277216,-0.09863521,-0.70077074,0.031311277,0.022602836,"[192.82131874 196.90224099 199.67523725 189.05397271 198.24569968
 198.60206488 200.44821929 198.44775624 203.69860915 198.32021479]",197.6215333708532,3.855166224528826,203.69860914767688,189.0539727062519,5000,27000,0,28.47028563497588,1.991987959947437,11.839425818994641,42.30169941391796,201.6900160573423,4
0.032603692,0.023442317,7.02439,0.702439,74.19501,12.818774,-61.690372,57.907906,76.58031,212.05153,-3.6894991,62.38302,77.89921,217.8136,-0.5535821,-1.3470914,1.4546258,6.6066985,-3.5449965,0.16581637,0.5069017,1.9460552,-2.256291,-0.25565633,0.18732595,-0.10720019,-0.7820875,0.02878862,0.0120406505,"[294.78041485 304.08688073 312.75780315 299.14772629 310.14076885
 291.44787437 272.73195521 310.42914091 299.13162923 320.99124901]",301.5645442612796,12.85546764143108,320.9912490149272,272.7319552136012,6000,32000,0,27.70890953578055,2.1996500520035625,13.135116294026375,43.043675881810486,246.08506594831124,5
0.028875506,0.012045466,8.691999,0.86919993,61.950325,22.923607,-85.095345,81.8862,103.764244,294.81274,-5.376377,86.883446,105.73498,298.95236,-1.424462,-1.4129854,1.2774708,5.8679495,-4.5652566,0.06769366,0.5012553,1.9583457,-2.1375446,-0.2719567,0.20646518,-0.0152181685,-0.8507292,0.016350104,0.007268662,"[264.79057149 245.25071421 266.49339144 268.61445574 238.48052616
 263.84042937 261.13604042 254.1292542  255.26481632 260.27773127]",257.8277930612465,9.196581714246058,268.61445573958133,238.48052615707937,7000,37000,0,27.022027054335922,3.5524652749300003,13.672847895883024,44.247340225148946,289.5073096798733,6
0.017883731,0.007342607,9.9297905,0.99297905,313.59778,34.392918,-107.3454,105.57936,125.3626,351.0733,-7.1255717,108.820854,125.48909,357.94427,-3.7286282,-1.2299261,1.6994617,7.6023884,-4.8734956,0.15871647,0.6014847,2.3599117,-2.0919447,-0.31076297,0.24562816,-0.08538943,-1.1078196,0.028499087,0.0055544935,"[324.68602163 174.67681749 312.25923955 145.70039464 138.62284355
 198.39934765 137.0604313  322.55080727 297.44093724 333.31404467]",238.47108849965116,81.82626895759033,333.31404467155454,137.0604313028823,8000,42000,0,25.87000434473157,2.7290414650924504,12.576032475568354,41.175078285392374,330.7518015606329,7
0.028020913,0.005487039,10.596031,1.0596031,222.27383,37.397354,-140.43898,141.57083,149.77396,431.63727,-0.67681545,138.8659,147.24893,423.73248,-0.69425374,-1.2059188,1.7882757,7.4660044,-4.926438,0.023681687,0.60924757,2.35797,-2.3924654,-0.2933195,0.22172678,-0.065642536,-1.0818189,0.007943086,0.0059326543,"[340.25028009 344.83227967 316.41688581 321.73731293 322.85579613
 328.35697086 334.28665042 316.81886798 305.62254649 334.84827184]",326.6025862213001,11.51536509804525,344.8322796705376,305.62254649047435,9000,47000,0,25.415896309074014,2.7986742318607867,12.883698219899088,41.09826876083389,372.08485841425136,8
0.0075393147,0.0058042263,10.471015,1.0471015,434.64252,36.76709,-170.07004,167.89148,176.01837,503.6988,-5.044222,170.50015,175.33011,502.67456,-3.8211603,-0.8425698,1.8661742,8.7835045,-5.0919714,0.1724419,0.6770782,2.7686133,-2.4612434,-0.34372023,0.27189848,0.0067336336,-1.2197025,0.024420632,0.0041689575,"[301.09530432 337.6539805  303.56933047 280.90464274 317.51690505
 309.24326464 315.02968424 297.71174285 287.77312745 322.92234761]",307.3420329873287,15.986488387127428,337.65398050284915,280.904642737178,10000,52000,0,26.01996268099174,3.032453211955726,12.985331521369517,42.03774741431698,414.1886532185599,9
0.02646622,0.00429978,11.278105,1.1278105,73.95313,14.119717,-165.16595,162.84343,196.89377,556.08344,-4.5224214,165.51758,197.91855,554.9185,-2.7175517,-1.0839729,1.8196534,9.703669,-4.9922843,0.028578533,0.59767014,2.679599,-2.5968673,-0.3289263,0.2956758,-0.07970582,-1.370024,0.022232821,0.0050627626,"[301.56803375 308.3058364  291.86503133 275.14735524 284.64206346
 272.42313943 298.7009673  300.48605335 301.676092   305.27750757]",294.0092079816226,11.938659822323112,308.30583640419593,272.4231394252992,11000,57000,0,27.519884943030775,3.100476913154125,13.157905467785895,43.778267323970795,457.70025158673525,10
0.024770185,0.005125423,10.936361,1.0936362,295.73624,26.168478,-201.3032,198.75148,221.5504,603.8952,-6.3986573,202.28491,222.77635,606.84247,-1.870068,-0.9997534,1.6487101,7.6677823,-4.604624,0.07650706,0.6019019,2.4174798,-2.8293886,-0.35265258,0.30026853,0.07793287,-1.4116803,0.015652541,0.005267519,"[263.23380598 290.85230591 300.81964797 305.66319087 311.25661696
 282.0179303  296.88414964 273.23049351 307.62041785 292.90927204]",292.4487831032951,14.773958730472446,311.2566169584714,263.2338059810577,12000,62000,0,26.681740988977253,2.8339848471805453,12.85430706338957,42.37003289954737,500.04698431445286,11
