Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
17	-342.50232	79.351776	-215.34134	-502.3375	-333.80768	66.90292	-220.56282	-424.87222	100.0	100.0	85000	-127.57318	38.446335	92.888916	-245.35947	-127.572464	38.442165	93.47575	-242.73068	-126.810265	37.58941	37.45703	-245.01611	8.156141	5.562118	61.14988	-17.00145	114.600174	41.398827	41.26489	24.309656	1052.8762938976288
18	-306.32272	84.0562	-174.70456	-518.99414	-421.33496	79.20138	-295.7742	-540.5587	100.0	100.0	90000	-136.43251	43.60933	91.710045	-265.39526	-136.4317	43.61704	91.659325	-263.40997	-136.18936	43.050636	14.846714	-262.17917	8.375316	5.57744	70.199486	-12.715683	122.7666	46.416595	45.88064	27.303028	1115.414941072464
19	-362.0652	88.14937	-209.58998	-547.4666	-429.07935	80.990295	-282.17285	-529.884	100.0	100.0	95000	-144.35155	46.46734	117.39562	-278.58823	-144.35138	46.470955	90.132866	-280.75485	-144.30492	45.680527	34.16102	-275.275	8.347816	5.352132	71.603836	-12.161442	131.32318	48.341812	47.72925	28.742563	1177.4649550914764
20	-375.235	97.66447	-196.0121	-693.8058	-389.40457	84.56217	-255.64845	-525.04553	100.0	100.0	100000	-152.86609	48.980442	105.37915	-294.35727	-152.86668	49.00128	112.47231	-294.21188	-152.64204	48.136234	95.58142	-286.54913	8.316798	5.1726565	67.75495	-13.932784	139.60126	55.768887	54.582886	31.292631	1239.7790927886963
21	-349.40652	70.998665	-199.18054	-494.7857	-364.59674	63.382545	-283.12607	-455.50027	100.0	100.0	105000	-150.74255	50.812656	100.0672	-296.38293	-150.7425	50.836063	176.27155	-297.2184	-150.44815	49.978584	52.928844	-299.7314	8.607275	5.41747	65.09977	-10.97313	137.003	51.110767	49.788937	30.868288	1302.7195007801056
22	-379.27048	84.88163	-214.59178	-601.65204	-398.87717	46.886272	-297.78555	-453.90826	100.0	100.0	110000	-150.54007	51.10703	127.62448	-295.04306	-150.53827	51.125347	85.96668	-295.7832	-150.41737	50.381405	40.716812	-296.64072	8.452575	5.5819087	68.37137	-10.294323	137.72862	50.965958	49.879593	30.967432	1365.479382276535
23	-333.0884	76.35093	-208.6202	-481.58707	-391.518	74.497894	-268.74164	-480.11517	100.0	100.0	115000	-149.52641	49.753216	164.99161	-295.30902	-149.52884	49.769646	151.05595	-291.61194	-149.31058	48.893997	133.77812	-285.56717	8.231476	5.4157987	67.1201	-13.096137	136.71463	50.120308	48.23607	31.211294	1427.7471997737885
24	-353.20493	79.49624	-184.05302	-535.3638	-365.74567	55.23343	-276.54773	-439.08212	100.0	100.0	120000	-150.17897	48.82429	116.037056	-288.9112	-150.1779	48.85216	119.8669	-293.41565	-150.12889	47.98437	87.8333	-292.32452	8.080252	5.3252296	70.110916	-10.600029	138.1448	51.10998	49.12776	31.157005	1490.85671377182
25	-361.71796	83.5367	-204.72552	-548.71497	-443.781	73.95867	-291.61642	-512.5465	100.0	100.0	125000	-146.4739	46.10004	92.76461	-283.4951	-146.47292	46.14774	164.29143	-287.37878	-145.87498	44.907665	95.57999	-284.23575	8.243133	5.068433	67.41736	-11.686692	133.94333	53.42361	50.995407	31.215288	1553.431432723999
26	-356.99634	82.639854	-202.64876	-539.48645	-427.54486	97.382515	-251.50218	-547.98083	100.0	100.0	130000	-146.67978	44.21649	105.574066	-289.25345	-146.6808	44.262196	150.27359	-289.25226	-146.25296	43.147408	36.44009	-289.28452	8.16112	5.176859	58.23406	-12.428382	133.84401	53.020386	50.314587	30.770632	1616.0112113952637
27	-363.79218	70.094475	-181.51372	-490.45822	-395.08466	80.99376	-250.10345	-496.30045	100.0	100.0	135000	-144.2213	41.3058	133.76184	-278.20306	-144.22247	41.354843	135.26355	-278.17645	-143.46411	39.95469	53.129444	-287.2065	7.975261	5.122046	64.01538	-13.688914	131.54338	52.675274	49.853203	28.152668	1676.07191157341
28	-340.47626	76.77252	-201.21425	-477.33154	-367.1479	46.14944	-288.52893	-431.16562	100.0	100.0	140000	-149.14227	41.81594	142.65198	-306.4557	-149.14238	41.867485	173.2819	-298.06363	-149.45618	41.08559	45.15872	-298.9484	8.534699	5.711972	59.76338	-13.097293	135.36812	58.284218	55.841938	31.184181	1736.498484134674
29	-361.66632	91.05377	-191.83931	-648.4709	-364.60953	58.308296	-278.4179	-458.40225	100.0	100.0	145000	-166.67757	48.35617	166.0496	-317.44177	-166.67899	48.41095	151.3351	-315.8439	-167.30289	47.47236	46.802345	-320.3316	9.109632	6.1827602	64.82309	-12.452762	150.82562	72.04406	69.29716	36.123375	1798.6160271167755
30	-343.08624	109.65115	-176.96957	-587.266	-464.72675	91.81769	-303.23468	-585.94806	100.0	100.0	150000	-175.16884	52.21643	186.52777	-319.58517	-175.16872	52.262604	138.67778	-319.6629	-175.26913	51.28057	43.441307	-325.10712	9.548561	6.009778	66.4731	-9.937866	157.9716	79.17415	76.65036	40.930645	1860.9322378635406
31	-339.45544	89.52624	-192.77705	-533.7428	-364.70358	64.58123	-256.66693	-458.07126	100.0	100.0	155000	-157.08197	42.2029	150.90404	-314.9949	-157.08057	42.257412	106.94819	-314.72266	-156.29353	40.491215	44.985085	-315.7958	9.460769	6.0182834	69.8826	-12.851372	140.82419	67.36135	65.811356	32.78729	1923.6103196144104
32	-349.1259	77.28179	-179.77596	-550.6477	-396.50812	69.611115	-275.38507	-502.40454	100.0	100.0	160000	-169.222	45.917633	183.91312	-317.21225	-169.22267	45.942368	154.91473	-314.2573	-169.89908	45.121826	35.394337	-318.7073	9.348151	6.444461	69.33646	-13.5924835	152.64973	72.531265	71.6302	33.892525	1985.8157272338867
33	-418.79608	89.51492	-215.81416	-589.6165	-445.8813	119.95033	-249.35347	-609.96857	100.0	100.0	165000	-181.97675	50.798584	178.41563	-328.11426	-181.97594	50.81884	178.1607	-325.44968	-182.58539	49.4679	76.39712	-329.88477	9.902312	6.6255054	75.95732	-12.792759	164.0974	85.4173	84.97964	36.21996	2049.4804520606995
34	-433.4818	84.14335	-280.72797	-615.12854	-426.63818	79.443245	-293.1447	-514.0316	100.0	100.0	170000	-185.11343	48.552376	150.146	-315.75696	-185.11043	48.581028	148.19908	-318.06345	-185.61336	47.289	36.108555	-314.09354	10.197718	7.057089	64.90331	-11.739075	165.5442	93.06544	91.83353	36.6066	2111.631880760193
35	-363.60788	74.66648	-205.52357	-512.62976	-385.64603	67.9278	-292.25104	-508.45102	100.0	100.0	175000	-179.28671	47.826813	126.40877	-321.48727	-179.28424	47.880516	145.1235	-313.4843	-178.71545	46.230713	40.55536	-316.28308	10.58126	6.7548666	71.72723	-11.399816	158.00945	88.39086	86.42855	37.26921	2174.6918988227844
36	-344.50687	75.90638	-188.30516	-467.90695	-459.5464	86.67366	-303.37805	-558.57996	100.0	100.0	180000	-175.84637	42.571968	319.63733	-296.03268	-175.84691	42.58044	152.27629	-293.48047	-176.08551	41.232433	58.091225	-295.49454	10.575496	7.0852647	71.70039	-14.923485	154.92328	86.37522	85.199196	36.257774	2237.6861732006073
37	-372.36053	93.9239	-223.3936	-587.7913	-369.92056	62.139194	-256.03098	-457.36383	100.0	100.0	185000	-188.78578	48.078766	389.5955	-330.67465	-188.78716	48.090866	222.48291	-331.02353	-189.59334	46.90751	34.467735	-330.53415	10.857517	7.2158265	67.43935	-11.13842	166.5224	94.227745	93.79185	40.38196	2301.9243700504303
38	-336.09534	79.77834	-192.37541	-491.61923	-456.57355	70.743256	-328.02982	-544.1554	100.0	100.0	190000	-200.61166	53.992134	271.51376	-347.34616	-200.61394	54.014736	160.64977	-345.8759	-201.58592	52.84009	28.703993	-345.91663	11.119323	7.4404116	77.62011	-11.776579	175.99883	105.06201	102.40021	41.643467	2366.2015504837036
39	-382.14786	93.162155	-220.91187	-570.6356	-408.30185	102.94772	-210.22484	-520.85034	100.0	100.0	195000	-164.50766	45.84156	231.19308	-348.78476	-164.50664	45.883667	197.7894	-353.05377	-162.19899	43.763874	91.45087	-352.92972	10.762088	6.820367	71.028015	-12.710634	143.34166	89.43728	87.20418	37.107582	2428.9280483722687
40	-325.3925	84.67562	-189.04393	-490.84525	-369.2801	78.412346	-215.14749	-462.81903	100.0	100.0	200000	-166.97554	36.18265	171.98392	-292.11923	-166.97585	36.241344	135.66087	-295.76324	-167.86217	35.10751	120.094345	-297.2021	8.712494	6.855007	86.083115	-16.591728	151.191	84.06545	81.6033	33.659943	2491.672333240509
